state,x,y
Andhra Pradesh,-68.0,-169.0
Arunachal Pradesh,227.0,107.0
Assam,180.0,63.0
Bihar,57.0,49.0
Chhattisgarh,-16.0,-35.0
Delhi,-98.0,110.0
Goa,-156.0,-159.0
Gujarat,-214.0,-6.0
Haryana,-126.0,126.0
Himachal Pradesh,-110.0,183.0
Jharkhand,50.0,8.0
Karnataka,-137.0,-171.0
Kerala,-114.0,-254.0
Madhya Pradesh,-94.0,-6.0
Maharashtra,-157.0,-82.0
Manipur,213.0,27.0
Meghalaya,161.0,42.0
Mizoram,196.0,-2.0
Nagaland,228.0,56.0
Odisha,29.0,-56.0
Punjab,-137.0,159.0
Rajasthan,-168.0,70.0
Sikkim,113.0,88.0
Tamil Nadu,-82.0,-245.0
Telangana,-72.0,-111.0
Tripura,175.0,7.0
Uttar Pradesh,-52.0,82.0
Uttarakhand,-66.0,146.0
West Bengal,91.0,-4.0
